population,condition,training_seed,ensemble_seed,scenario,episode_seed,window_first_step,window_last_step,n_rows_in_window,uncertainty_norm_landmark_median,uncertainty_ratio_landmark_median,unsafe_episode,safety_infeasible,operational_failure
safety,A6c_gate_off_control,0,0,motor_fault,50023,0,24,25,6.1744410717514775,1.4711289904696112,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50024,0,24,25,3.733197008936803,0.8894755465572003,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50025,0,24,25,4.44956029782007,1.0601570365475788,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50026,0,24,25,4.554859533512525,1.085245746035824,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50027,0,24,25,3.8818209617410653,0.9248868498812947,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50028,0,24,25,6.694331378948616,1.5949986158970846,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50029,0,24,25,7.28090027649644,1.7347551541914281,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50030,0,24,25,3.997874323067215,0.9525378489440995,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50031,0,24,25,5.6449526924055835,1.3449725180179994,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50032,0,24,25,7.047406153722833,1.6791225926162499,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50033,0,24,25,3.9324526836257556,0.9369504185568045,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50034,0,24,25,4.939875096327687,1.1769799693699352,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50035,0,24,25,5.251086843423333,1.2511296159544203,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50036,0,24,25,6.142969711964477,1.4636305903368485,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50037,0,24,25,6.898989985423038,1.6437607962523386,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50038,0,24,25,5.2769718088049515,1.2572969957298012,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50039,0,24,25,5.908093204791293,1.4076686603633721,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50040,0,24,25,4.103109763482529,0.9776113585007936,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50041,0,24,25,7.596023775580637,1.8098368190245304,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50042,0,24,25,4.217454258339408,1.0048552011951803,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50043,0,24,25,4.790132467342596,1.141302129052218,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50044,0,24,25,7.066417425854882,1.683652238822952,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50045,0,24,25,6.963435209169215,1.6591155847827614,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50046,0,24,25,7.588281703834031,1.8079921846583795,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50047,0,24,25,6.531269106119982,1.556147222868562,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50048,0,24,25,4.12985380532134,0.9839834227595989,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50049,0,24,25,7.773458871996309,1.8521126965056676,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50050,0,24,25,4.72110550509963,1.1248556905649734,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50051,0,24,25,5.305838251728791,1.264174745560678,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50052,0,24,25,7.090363014979011,1.68935754071911,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50053,0,24,25,7.3146413662302745,1.7427943426298078,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50054,0,24,25,5.162223261709825,1.229956883113256,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50055,0,24,25,7.176566331100619,1.7098964358105713,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50056,0,24,25,3.794385269708559,0.90405432757587,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50057,0,24,25,6.553030766527554,1.5613321795527875,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50058,0,24,25,7.572659170279133,1.8042699429606908,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50059,0,24,25,5.588916227559344,1.3316212094540731,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50060,0,24,25,8.049841063867728,1.9179638156898438,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50061,0,24,25,3.796973362722474,0.9046709694092858,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50062,0,24,25,5.0899452465962876,1.2127358452619765,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50063,0,24,25,4.798730971380576,1.1433508178999934,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50064,0,24,25,6.175038264764821,1.471271278321196,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50065,0,24,25,4.328303212472502,1.0312661925858833,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50066,0,24,25,6.879788798586386,1.6391859007632463,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50067,0,24,25,5.155671175286022,1.2283957759338193,False,False,False
