episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
64,14000,0,250,250,14,48.081592192832964,6.536690796881659
65,14250,0,250,250,144,596.512474016342,18.291397068833792
66,14474,0,224,224,41,359.0597474986761,19.147690869866548
67,14724,0,250,250,26,79.08715166838849,6.728045182812721
68,14974,0,250,250,62,363.8470638030899,13.574629591587007
69,15224,0,250,250,29,417.35451533449447,22.19548420535778
70,15474,0,250,250,45,829.322249549034,33.10361875095577
71,15724,0,250,250,139,1435.825970050566,34.75796621969151
72,15974,0,250,250,79,279.14511306404853,11.10056282852849
73,16224,0,250,250,44,299.82219001905565,14.2770351093036
74,16474,0,250,250,40,225.12480212996982,16.102545270698634
75,16724,0,250,250,27,637.9810086497929,31.397391407003813
76,16974,0,250,250,64,339.5589831550466,14.756676024657303
77,17224,0,250,250,216,417.41807134546224,12.186064496233335
78,17474,0,250,250,12,37.98702475143158,5.163711538353584
79,17724,0,250,250,24,377.0576900993571,22.29115267736064
80,17974,0,250,250,35,490.23606823612045,22.772534459232524
81,18224,0,250,250,65,911.5755151266803,23.725825638431406
82,18474,0,250,250,10,32.02397415562293,4.980512156513366
83,18724,0,250,250,243,1063.6553412263015,22.721615328021834
84,18974,0,250,250,27,143.15374878352378,16.033433909314148
85,19100,0,126,126,62,243.14320800869956,9.96296221161678
86,19350,0,250,250,48,940.7770261353584,32.00803954756666
87,19600,0,250,250,16,57.048302264196266,6.874001009639327
88,19850,0,250,250,81,493.9368295623063,16.094059815375708
89,20100,0,250,250,14,162.87490362840734,17.738117228002853
90,20350,0,250,250,24,383.9076951443625,26.338615813090737
91,20600,0,250,250,198,1703.6153672223722,17.056792733092497
92,20850,0,250,250,37,201.06582987869263,8.65842637777138
93,21100,0,250,250,242,766.1913559714413,24.410949260171552
94,21350,0,250,250,55,265.8455090278035,14.33818927023205
95,21600,0,250,250,57,912.8091197249568,32.111673629083526
96,21850,0,250,250,16,49.020066187488226,6.071073279531148
97,22100,0,250,250,48,826.6014580540512,28.140755828046462
98,22350,0,250,250,68,343.2618438946025,15.33128910150282
99,22600,0,250,250,250,3279.3981314799994,33.352589608848504
100,22850,0,250,250,17,99.98943142044483,8.212398133285358
101,23100,0,250,250,58,379.0465432204188,16.225709358212104
102,23350,0,250,250,42,298.2825438092119,18.25971164918675
103,23600,0,250,250,8,21.368418753082924,5.496302056065515
104,23669,0,69,69,15,39.95113114883918,5.25212681500535
105,23919,0,250,250,20,322.1118929560762,26.11763906141646
106,24169,0,250,250,38,820.2797930452732,30.654600002380576
107,24419,0,250,250,39,749.2573167223836,33.47600905257171
108,24669,0,250,250,250,1714.984413383985,23.1779785707852
