condition,training_seed,scenario,episodes,success_mean,unsafe_episode_mean,safety_infeasible_mean,normalized_violation_integral_mean,unsafe_state_fraction_mean,safety_intervention_fraction_mean,safety_correction_mean_mean,reward_mean,unsafe_state_fraction_pooled,intervention_fraction_pooled
P0_inloop_reference,33,ood_compound,100,0.01,0.2,0.03,0.025020019577034796,0.024003660133222766,0.7829385916289594,10.605698507950624,-444.47159934912565,0.022854324235448864,0.7827988939787875
P0_inloop_reference,34,ood_compound,100,0.01,0.23,0.03,0.03185408312054391,0.030210511698146685,0.809155758353111,11.008734247045034,-435.9852619981006,0.029638752052545157,0.8077319375180315
P1_inloop_half_penalty,30,ood_compound,100,0.01,0.21,0.03,0.0397757306721196,0.02646794513863737,0.7751659626022126,10.183569963838108,-434.4630192474864,0.025376555337262605,0.7728374768851448
P1_inloop_half_penalty,31,ood_compound,100,0.04,0.18,0.03,0.02070906722796125,0.023851525804825923,0.8284433459631428,9.972348745154978,-435.6754281333132,0.022868849032150175,0.8328855679623877
P1_inloop_half_penalty,32,ood_compound,100,0.0,0.2,0.03,0.034693466290835535,0.03494715506107438,0.7539821016483518,11.043215798119846,-432.8298149165665,0.033968889070346626,0.749918019347434
P1_inloop_half_penalty,33,ood_compound,100,0.01,0.21,0.03,0.0447596650182964,0.0377774124341103,0.8309877736887963,11.692393223936692,-441.89359948183795,0.03689161554192229,0.8274955857594547
P1_inloop_half_penalty,34,ood_compound,100,0.02,0.27,0.03,0.03215825773463087,0.028957623505004467,0.830100016620992,10.322250609080221,-437.568151447799,0.026475068966937045,0.8303431169904919
P0_inloop_reference,30,motor_fault,100,0.06,0.35,0.06,0.0608614145430598,0.08807507065967389,0.4946019689556928,4.503833962848708,-247.67756172644124,0.09185510428100988,0.48397336978087385
P0_inloop_reference,31,motor_fault,100,0.14,0.25,0.08,0.042601812712808336,0.05198267639881232,0.5274250187027554,5.901507707719793,-234.26073311497748,0.056893509466355095,0.511424055180342
P0_inloop_reference,32,motor_fault,100,0.1,0.31,0.08,0.04349421347014824,0.06757163939995509,0.4777680120734712,5.4468935032951995,-236.7128011330847,0.07078382610297504,0.462168162057164
P0_inloop_reference,33,motor_fault,100,0.15,0.25,0.07,0.04563425134041078,0.05100719030788044,0.5232222745635324,5.023203297604291,-236.29645392247278,0.05674128058302967,0.5142599106378933
P0_inloop_reference,34,motor_fault,100,0.13,0.28,0.07,0.04538740419666647,0.078649084619909,0.5497916826362083,5.073035617122604,-239.54352740822569,0.08558165188215287,0.5442208271787297
P1_inloop_half_penalty,30,motor_fault,100,0.12,0.26,0.09,0.03952162077540029,0.048372789027839494,0.5258205233230031,5.068807554743888,-232.52816882931214,0.04996709598571026,0.5223056224330831
P1_inloop_half_penalty,31,motor_fault,100,0.19,0.25,0.08,0.04914519014531714,0.0633014140064291,0.5598825694748044,5.666621855473272,-224.92246160102763,0.07117108339828526,0.5549520454100607
P1_inloop_half_penalty,32,motor_fault,100,0.11,0.27,0.08,0.053980155044486215,0.059209843638082266,0.48988757955543105,5.690087469812699,-230.41879243721291,0.061607469791285244,0.4687902187902188
P1_inloop_half_penalty,33,motor_fault,100,0.15,0.28,0.08,0.04909335181931076,0.06408590180553318,0.5400787188015564,5.95838439391097,-232.7572728478182,0.07304702313234736,0.5258046086459722
P1_inloop_half_penalty,34,motor_fault,100,0.16,0.18,0.08,0.04055796950043318,0.04277735261887867,0.5627047433478998,5.812546450188489,-229.36056702540708,0.04742606262363101,0.5681124303368064
