scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
id_reference,P0_inloop_reference_train_seed_30,650034,78,79,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,78,14,0.1794871794871795,-143.9181129515267,-3.552713678800501e-14,True,False,78,14,0.1794871794871795,0.8612135284434055,10.436853223693307,False,True
id_reference,P0_inloop_reference_train_seed_30,650035,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,6,0.024,-250.80251063088295,-1.4210854715202004e-14,True,False,250,6,0.024,0.24643608476443735,18.99178169363619,False,False
id_reference,P0_inloop_reference_train_seed_30,650036,250,251,3,0.01195219123505976,True,1,18,0.0,0.8602432033985856,0.0007395178071664153,0.12289188619979785,0.0037123793919754044,250,168,0.672,-479.9687627474312,-2.842170943040401e-14,True,False,250,168,0.672,4.357153744664327,40.1329149895552,False,False
id_reference,P0_inloop_reference_train_seed_30,650037,97,98,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,97,21,0.21649484536082475,-98.97025665261125,-2.842170943040401e-14,True,False,97,21,0.21649484536082475,0.47722774140105834,7.186276580350584,False,True
id_reference,P0_inloop_reference_train_seed_30,650038,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,53,0.212,-333.4720939482465,-2.842170943040401e-14,True,False,250,53,0.212,2.00091310314055,26.551990472585,False,False
id_reference,P0_inloop_reference_train_seed_30,650039,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,4,0.016,-74.75775970360863,-7.105427357601002e-15,True,False,250,4,0.016,0.04850174141595567,5.49703873318289,False,False
id_reference,P0_inloop_reference_train_seed_30,650040,62,63,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,62,32,0.5161290322580645,-339.66976271776286,-7.105427357601002e-14,True,False,62,32,0.5161290322580645,9.322479396601652,27.028566749517484,False,True
id_reference,P0_inloop_reference_train_seed_30,650041,61,62,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,61,22,0.36065573770491804,-343.8479582674178,-2.1316282072803006e-14,True,False,61,22,0.36065573770491804,6.062582079041797,25.956664429579597,False,True
id_reference,P0_inloop_reference_train_seed_30,650042,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,45,0.18,-249.05056750291652,-9.947598300641403e-14,True,False,250,45,0.18,3.359783193149974,32.14912430950222,False,False
id_reference,P0_inloop_reference_train_seed_30,650043,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,88,0.352,-325.488858251584,-1.1368683772161603e-13,True,False,250,88,0.352,6.317127488948208,23.76412549722466,False,False
id_reference,P0_inloop_reference_train_seed_30,650044,88,89,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,88,61,0.6931818181818182,-92.78625532917005,-1.4210854715202004e-14,True,False,88,61,0.6931818181818182,1.994566713459381,7.083901920578318,False,True
id_reference,P0_inloop_reference_train_seed_30,650045,96,97,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,96,26,0.2708333333333333,-158.02978137149313,-4.263256414560601e-14,True,False,96,26,0.2708333333333333,1.642189060983837,11.706055194170641,False,True
id_reference,P0_inloop_reference_train_seed_30,650046,79,80,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,79,43,0.5443037974683544,-264.9930929630741,-3.552713678800501e-14,True,False,79,43,0.5443037974683544,10.294603035835038,25.371569330432273,False,True
id_reference,P0_inloop_reference_train_seed_30,650047,67,68,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,67,29,0.43283582089552236,-211.75557055110127,-2.842170943040401e-14,True,False,67,29,0.43283582089552236,4.806773915595503,14.758065877498666,False,True
id_reference,P0_inloop_reference_train_seed_30,650048,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,4,0.016,-59.794730735128134,-1.4210854715202004e-14,True,False,250,4,0.016,0.08421967762727323,8.850291547568501,False,False
id_reference,P0_inloop_reference_train_seed_30,650049,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,3,0.012,-23.716883326440055,-1.4210854715202004e-14,True,False,250,3,0.012,0.012528478428634407,1.6897490692508623,False,False
id_reference,P0_inloop_reference_train_seed_30,650050,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,16,0.064,-13.339172013909689,-2.1316282072803006e-14,True,False,250,16,0.064,0.1834493998037928,5.4994378089904785,False,False
id_reference,P0_inloop_reference_train_seed_30,650051,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,34,0.136,-423.6676622484858,-5.684341886080802e-14,True,False,250,34,0.136,2.487696370923779,31.861955304508406,False,False
id_reference,P0_inloop_reference_train_seed_30,650052,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,44,0.176,-479.35943308655374,-1.7763568394002505e-14,True,False,250,44,0.176,2.8427936131328626,34.75868192734284,False,False
id_reference,P0_inloop_reference_train_seed_30,650053,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,128,0.512,-321.2268537691195,-6.394884621840902e-14,True,False,250,128,0.512,4.452660812898424,29.144620557252647,False,False
