arm,scenario,seed,origin,outcome,steps,final_distance,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive_hocbf,id_reference,50022,official,success,65,0.047956357690969766,True,False,0.0,False,0.26153846153846155,2,2,45,0.17188438761745467,0.026367602166640934
fixed,id_reference,50023,official,timeout,250,0.2837804138771978,False,True,0.4142132432617782,False,0.0,0,,,,
fixed_hocbf,id_reference,50023,official,timeout,250,0.28380394383991214,False,False,0.0,False,0.116,0,,,,
adaptive,id_reference,50023,official,success,75,0.04753796194145361,True,True,0.5846747299828383,False,0.0,0,0,61,0.39415200627689756,0.00735483139341949
adaptive_hocbf,id_reference,50023,official,success,69,0.04769201486339778,True,False,0.0,False,0.4782608695652174,0,0,46,0.2609645230566064,0.017015843887319557
fixed,id_reference,50024,official,timeout,250,0.21603440911829574,False,False,0.0,False,0.0,1,,,,
fixed_hocbf,id_reference,50024,official,timeout,250,0.21603440911829574,False,False,0.0,False,0.0,1,,,,
adaptive,id_reference,50024,official,success,38,0.03214236637236651,True,False,0.0,False,0.0,1,1,5,0.17778104429652658,0.10149225549159221
adaptive_hocbf,id_reference,50024,official,success,38,0.03214236637236651,True,False,0.0,False,0.0,1,1,5,0.17778104429652658,0.10149225549159221
fixed,id_reference,50025,official,timeout,250,0.3950520670265089,False,True,0.8934169850405136,False,0.0,2,,,,
fixed_hocbf,id_reference,50025,official,timeout,250,0.3950337410115705,False,False,0.0,False,0.144,2,,,,
adaptive,id_reference,50025,official,success,76,0.045968707630372405,True,True,0.7400100338425784,False,0.0,2,2,64,0.21209181974844513,0.08042759226990329
adaptive_hocbf,id_reference,50025,official,success,73,0.048231465523976294,True,False,0.0,False,0.3698630136986301,2,2,49,0.3009600453447322,0.04423938870955573
fixed,id_reference,50026,official,timeout,250,0.8245987696430117,False,False,0.0,False,0.0,1,,,,
fixed_hocbf,id_reference,50026,official,timeout,250,0.8243482683827366,False,False,0.0,False,0.272,1,,,,
adaptive,id_reference,50026,official,success,62,0.045448400028736284,True,True,0.16690051775911696,False,0.0,1,1,45,0.014677137227865738,0.006997538221563041
adaptive_hocbf,id_reference,50026,official,success,58,0.04939560615966884,True,False,0.0,False,0.4482758620689655,1,1,40,0.01772580896590036,0.019130322734797815
fixed,id_reference,50027,official,success,42,0.048264142229498715,True,True,0.14900312627836354,False,0.0,1,,,,
fixed_hocbf,id_reference,50027,official,success,38,0.04085828566954342,True,False,0.0,False,0.3684210526315789,1,,,,
adaptive,id_reference,50027,official,success,49,0.04723273474817466,True,True,0.25968401919602835,False,0.0,1,1,25,0.5176094586445635,0.03024892257651046
adaptive_hocbf,id_reference,50027,official,success,46,0.04032090657922888,True,False,0.0,False,0.2608695652173913,1,1,22,0.5439872156178895,0.02654488978259207
fixed,id_reference,50028,official,timeout,250,0.23505584091888673,False,True,1.333729787374189,False,0.0,2,,,,
fixed_hocbf,id_reference,50028,official,timeout,250,0.2350541661882405,False,False,0.0,False,0.08,2,,,,
adaptive,id_reference,50028,official,success,74,0.0497188955380495,True,True,1.333729787374189,False,0.0,2,2,62,0.0455466398167912,0.02989936440589672
adaptive_hocbf,id_reference,50028,official,success,62,0.04958464354470063,True,True,0.12101041721846362,False,0.25806451612903225,2,2,45,0.1364526758339609,0.01758906100362503
fixed,id_reference,50029,official,timeout,250,0.29961351676812575,False,True,1.0081618192391537,False,0.0,1,,,,
fixed_hocbf,id_reference,50029,official,timeout,250,0.2996915305358044,False,False,0.0,False,0.14,1,,,,
adaptive,id_reference,50029,official,success,78,0.04973405550021429,True,True,1.0081618192391537,False,0.0,1,1,58,0.027604741913952357,0.0158970433156932
adaptive_hocbf,id_reference,50029,official,success,68,0.04956032778935822,True,False,0.0,False,0.3382352941176471,1,1,40,0.07777807293109044,0.023927064560118717
fixed,id_reference,50030,official,timeout,250,0.3661686952052543,False,True,0.3948929782372079,False,0.0,1,,,,
fixed_hocbf,id_reference,50030,official,timeout,250,0.36605577833852526,False,False,0.0,False,0.096,1,,,,
