condition,training_seed,scenario,successes,episodes,success_rate,success_ci95_low,success_ci95_high,reward_mean,reward_std,final_distance_mean,fault_exposure_rate
A2,1,id_reference,54,100,0.54,0.44264860323368227,0.6343919169097589,-81.01032280715691,41.65458246358063,0.08242156692629182,0.0
A2,1,ood_compound,3,100,0.03,0.010254524024038925,0.0845193642905276,-210.7644574971394,87.62839844625837,0.37235584361244956,0.0
A2,1,motor_fault,26,100,0.26,0.18404698464748132,0.3537098944918718,-141.53512862277,91.10743003829602,0.27554749840934706,1.0
A3,1,id_reference,68,100,0.68,0.5833738138954762,0.7633085267500092,-72.65839011523838,42.53024595760754,0.06225004235930567,0.0
A3,1,ood_compound,6,100,0.06,0.027786123963188192,0.1247681544589592,-210.57571757511585,98.295545690624,0.37767123892213034,0.0
A3,1,motor_fault,24,100,0.24,0.16691325556948772,0.33232336349814473,-142.3451851766936,84.67385652748563,0.2929538867137437,1.0
A4,1,id_reference,15,100,0.15,0.0930598528365663,0.23283559590832364,-138.88775246597513,64.65892220332535,0.265602616102646,0.0
A4,1,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-318.4467990656561,77.82383226628163,0.8627158244722417,0.0
A4,1,motor_fault,2,100,0.02,0.00550196755016235,0.07001179072854388,-248.14813192067618,89.90359154657092,0.731261079455043,1.0
A5,1,id_reference,45,100,0.45,0.3561453797951198,0.5475539700255787,-107.4024114085939,71.47520691335087,0.14451171341299257,0.0
A5,1,ood_compound,3,100,0.03,0.010254524024038925,0.0845193642905276,-362.24472137046854,170.74784300308121,0.9403271921882425,0.0
A5,1,motor_fault,16,100,0.16,0.10095288488804782,0.24420269389270244,-203.94485218138325,132.72005548559753,0.5484856052979018,1.0
A6,1,id_reference,12,100,0.12,0.06999406437019488,0.19812099426711421,-146.24599473597598,71.53939558255256,0.32593630253260636,0.0
A6,1,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-384.6256327228991,157.56128261487768,1.1525765153790357,0.0
A6,1,motor_fault,2,100,0.02,0.00550196755016235,0.07001179072854388,-260.3014442167891,103.40282691138118,0.7729723216287219,1.0
A2,2,id_reference,57,100,0.57,0.47215389549212305,0.6626670147588988,-81.97293622980715,44.41496951983636,0.08587043075450611,0.0
A2,2,ood_compound,4,100,0.04,0.01566330399154762,0.0983707143588792,-225.1181659913608,86.00396637615489,0.46570382312006303,0.0
