scenario,controller,seed,steps,uncertainty_scale_mean,uncertainty_scale_min,uncertainty_norm_mean,uncertainty_norm_max,raw_residual_norm_mean,gated_residual_norm_mean
id_reference,A4_train_seed_1,50056,44,0.10130219417574131,0.1,4.8125524009770295,5.789673997248545,5.835918884903324,0.5941229993945009
id_reference,A4_train_seed_1,50057,250,0.1,0.1,6.674324165418228,9.842558655528276,7.572574760778638,0.7572574760778639
id_reference,A4_train_seed_1,50058,250,0.1,0.1,7.460569291616248,14.417976052694646,8.708130112012725,0.8708130112012725
id_reference,A4_train_seed_1,50059,250,0.10011044478604418,0.1,4.416082393995615,10.479300837514003,10.655514770295355,1.066529484040881
id_reference,A4_train_seed_1,50060,250,0.1,0.1,6.452847797348337,16.35588039569786,9.701177297688067,0.970117729768807
id_reference,A4_train_seed_1,50061,250,0.1,0.1,5.842753683115985,9.354905455274077,8.591337497359369,0.8591337497359369
id_reference,A4_train_seed_1,50062,250,0.1,0.1,4.711763486508003,8.911513798100486,7.713764979602695,0.7713764979602696
id_reference,A4_train_seed_1,50063,250,0.1,0.1,7.298290477023037,8.78429245920275,9.298113451833872,0.9298113451833876
id_reference,A4_train_seed_1,50064,250,0.1,0.1,3.863490434091516,9.979435504348627,6.549068626977436,0.6549068626977437
id_reference,A4_train_seed_1,50065,250,0.10006769208361865,0.1,5.117491071815435,7.700549963748344,10.219637661281473,1.0226454508793266
id_reference,A4_train_seed_1,50066,250,0.1,0.1,7.294092346282574,13.848878856829712,9.52290270924241,0.9522902709242412
id_reference,A4_train_seed_1,50067,250,0.1,0.1,5.113840057941194,8.700276227996078,10.140672096364506,1.0140672096364505
id_reference,A4_train_seed_1,50068,46,0.1004446864184656,0.1,2.990161587587956,5.190334459769311,6.733805461175356,0.6751539746263532
id_reference,A4_train_seed_1,50069,250,0.1,0.1,3.7931136265986645,14.145818237086056,5.071634926564903,0.5071634926564902
id_reference,A4_train_seed_1,50070,250,0.10003298749263012,0.1,6.4622103526083645,8.161901068605998,9.137779967453833,0.9140508983026505
id_reference,A4_train_seed_1,50071,71,0.09999999999999996,0.1,4.126005436597666,11.081011521634723,5.125665304854244,0.5125665304854243
id_reference,A4_train_seed_1,50072,250,0.10255940161216504,0.1,4.269714350032577,11.275630258551374,5.092903847749594,0.5322524059869411
id_reference,A4_train_seed_1,50073,250,0.10020687470707486,0.1,4.766664596515815,12.732353620648801,9.56967890858029,0.9586074747526917
id_reference,A4_train_seed_1,50074,250,0.1,0.1,3.861911242351145,6.84251718307984,8.689942977824685,0.8689942977824685
id_reference,A4_train_seed_1,50075,250,0.1,0.1,5.179239164414523,10.33238400084661,8.992705788227608,0.8992705788227607
id_reference,A4_train_seed_1,50076,250,0.1,0.1,6.611479608525215,14.759004881479674,8.253867550013693,0.8253867550013693
id_reference,A4_train_seed_1,50077,53,0.10952444498629307,0.1,3.6907210635151193,9.189586610157459,6.583720371911222,0.6997958965704311
id_reference,A4_train_seed_1,50078,250,0.10009489288538699,0.1,5.880195767276393,8.796384118897539,8.122804022752872,0.8130451536875937
id_reference,A4_train_seed_1,50079,250,0.10069427646430859,0.1,5.5806350505733935,11.551722054507032,8.76132664685895,0.8816574416681183
id_reference,A4_train_seed_1,50080,250,0.10087108424600892,0.1,3.9853671805732844,14.090421355995884,8.408121121200049,0.8478132530373437
id_reference,A4_train_seed_1,50081,57,0.1340296332365649,0.1,2.9920449969956273,6.6441351534611846,7.665728583776698,0.998643741699968
id_reference,A4_train_seed_1,50082,39,0.10000000000000002,0.1,4.347245806370908,8.574779856911475,3.7818622893216958,0.3781862289321697
id_reference,A4_train_seed_1,50083,63,0.10538714387862028,0.1,3.880516959541628,8.232313049980348,6.314356887455042,0.6651084056591995
id_reference,A4_train_seed_1,50084,49,0.09999999999999999,0.1,5.013392858645201,12.308536481462566,5.210360421249225,0.5210360421249226
id_reference,A4_train_seed_1,50085,250,0.1,0.1,4.389486720699877,9.372435383194976,8.422739891000942,0.842273989100094
id_reference,A4_train_seed_1,50086,115,0.1,0.1,9.756641527823763,16.0250719684875,7.372670286106028,0.7372670286106028
id_reference,A4_train_seed_1,50087,250,0.1,0.1,5.408077972884556,7.823335774076312,9.729645721824737,0.9729645721824738
id_reference,A4_train_seed_1,50088,87,0.09999999999999998,0.1,5.349365348909059,11.102963101979128,3.5466121904748835,0.3546612190474884
id_reference,A4_train_seed_1,50089,250,0.10178374720231594,0.1,3.017499159366376,8.102225910145208,8.260749064854066,0.840146139805867
id_reference,A4_train_seed_1,50090,250,0.1,0.1,6.974819943779535,15.472621683369619,9.0649720782788,0.9064972078278797
id_reference,A4_train_seed_1,50091,250,0.1013047122822347,0.1,5.201289076004063,13.41199433460469,5.506878540439659,0.5598672937925933
id_reference,A4_train_seed_1,50092,250,0.1,0.1,5.893067577035738,10.328799686551077,8.587450216887758,0.8587450216887761
