seed,target_x,target_y,success,steps,reward,distance
1034,-1.3693669722127864,0.8846724885186121,1,56,-83.03661058812239,0.046762014022753914
1035,0.7240708602549007,-1.2423041004087776,1,55,-40.67155539491318,0.04065346878351479
1036,1.1422137496369515,0.1657267820389289,1,43,-12.531395795785176,0.046826711533913656
1037,-0.23659770906039415,0.9896944717609805,1,44,-29.165025752027923,0.04806501450626463
1038,1.0494349177318367,-0.6163286022454795,1,48,-26.043749665788845,0.048538577201648385
1039,0.6846961848185109,0.5555190978279683,1,46,-21.196006233721,0.045848017753993255
1040,1.0147769580669108,-0.667655777408583,1,49,-27.204773305384695,0.04793300513352327
1041,0.0904475741125118,1.3922390615201878,1,45,-27.354761811359324,0.046104488939109664
1042,-0.4431872208529224,0.6064828259549957,1,48,-41.07912503111912,0.04531862403157897
1043,-0.21135651565643504,0.6840625474817401,1,45,-33.080335210440325,0.04480078873747952
1044,1.0187460905957404,-0.13959303777554402,1,45,-18.147190862363786,0.04688023870445266
1045,0.23042370780312696,0.8764361254356136,1,43,-32.01687965518859,0.04882013708177997
1046,0.7336144650982416,0.2957416517909002,1,46,-21.14858884419788,0.04711834289907092
1047,-0.4748036123991554,1.3670281071686121,1,52,-52.96394280243679,0.04578650929888083
1048,-0.27033533405125587,0.5086190187352706,1,50,-47.873228903011594,0.040492213451966144
1049,1.2601572776214431,-0.20158251533239407,1,42,-10.87326624545751,0.04567839807795093
1050,-0.23782976211705853,0.6914136500791511,1,44,-34.65518147837382,0.04777077831714912
1051,0.5263609877690792,-1.0636154709934633,1,56,-46.48016017551816,0.046113411096375886
1052,0.8803147470610682,-0.4217031581410517,1,47,-23.873838676488838,0.049949621821785
1053,-1.3301207226780922,0.6686619650727929,1,54,-66.97930051020957,0.047693870428641774
1054,0.6901990072988188,-0.5225140049918957,1,53,-40.916854996195525,0.04962270449193658
1055,-0.6965334737034393,-0.7988662783312438,1,65,-101.75907229666443,0.047619639958178
1056,1.0277253066947951,0.18208351262814582,1,45,-17.645882467702634,0.04823342222195468
1057,0.13939663383190615,1.6259099674257897,1,47,-32.50400904463393,0.044919379212191114
1058,-0.03521821886761843,-1.6372138994059515,1,56,-44.779853991844135,0.03687051171917332
1059,1.4203321706398215,-0.6576433674471241,1,44,-13.154279164770337,0.03974598219138509
1060,0.4993167243123489,-1.499674236285373,1,54,-38.87709732301937,0.03968081055728663
1061,-0.17047816621975223,1.412623896078743,1,51,-50.47918973393918,0.04526728554282245
1062,-0.8013370024007493,-0.2802071974515846,1,54,-66.92637097187983,0.046367035183925626
1063,0.21945531203420357,0.6849998575881268,1,38,-26.178675191525713,0.048902778371428354
1064,-0.7198195636004485,1.1765832293946603,1,53,-59.818715406356425,0.045576135878383675
1065,0.7349910539698872,0.18478539660115048,1,46,-21.221730955164503,0.0483606348338043
1066,-0.3075595916596769,1.0111460048286618,1,47,-37.51067562406527,0.04986468452801252
1067,-0.24342967635489737,-1.5230409092816306,1,59,-60.638548798382615,0.038582279124043876
1068,1.203952441137474,-0.38882631889937225,1,45,-18.369622019404957,0.04693285132806806
