arm,scenario,seed,origin,plant,outcome,steps,final_distance,reward,max_speed,max_command_torque,fault_seen,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,model_fallbacks,prediction_fallbacks,model_fallback_steps,control_steps,selected_time_constant,true_time_constant,true_armature,prediction_error_rms_joint1,prediction_error_rms_joint2
fixed,id_reference,50022,official,mujoco,timeout,250,0.3909588711719677,-190.20691903682524,12.009315685114387,40.0,False,False,True,0.7156165264449126,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50023,official,analytical,timeout,250,0.2837804138771978,-149.1320360478227,9.899492702832447,40.0,False,False,True,0.4142132432617782,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50023,official,mujoco,timeout,250,0.2834848448528385,-149.2407909343417,9.912132110412372,40.0,False,False,True,0.4160188729160532,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50024,official,analytical,timeout,250,0.21603440911829574,-79.84038761663798,2.4910632338383984,30.117034912109375,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50024,official,mujoco,timeout,250,0.21808813791144188,-80.14298322797306,2.4879425217472257,30.10160255432129,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50025,official,analytical,timeout,250,0.3950520670265089,-184.24167404147994,13.253918895283595,40.0,False,False,True,0.8934169850405136,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50025,official,mujoco,timeout,250,0.3952426644004968,-174.97746492006624,12.431620809524329,40.0,False,False,True,0.775945829932047,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50026,official,analytical,timeout,250,0.8245987696430117,-277.2272592938022,5.300369553573364,40.0,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50026,official,mujoco,timeout,250,0.8243369926298946,-277.2114532151616,5.304522608441042,40.0,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50027,official,analytical,success,42,0.048264142229498715,-40.27794971284743,8.043021883948544,40.0,False,True,True,0.14900312627836354,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50027,official,mujoco,success,41,0.04842416367367976,-40.08715749082276,8.045395009938147,40.0,False,True,True,0.14934214427687809,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50028,official,analytical,timeout,250,0.23505584091888673,-175.0288687867964,16.336108511619322,40.0,False,False,True,1.333729787374189,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50028,official,mujoco,timeout,250,0.23601921584648933,-174.75018677662877,16.356318806866742,40.0,False,False,True,1.3366169724095345,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50029,official,analytical,timeout,250,0.29961351676812575,-177.12435985433103,14.057132734674076,40.0,False,False,True,1.0081618192391537,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50029,official,mujoco,timeout,250,0.2988465728642267,-176.6019379326817,14.076340206889032,40.0,False,False,True,1.0109057438412905,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50030,official,analytical,timeout,250,0.3661686952052543,-158.42905669954746,9.764250847660456,40.0,False,False,True,0.3948929782372079,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50030,official,mujoco,timeout,250,0.36561807353623677,-158.38792105386952,9.776426441551726,40.0,False,False,True,0.3966323487931036,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50031,official,analytical,timeout,250,0.11570304375253138,-120.30705052039069,14.267960662208923,40.0,False,False,True,1.0382800946012747,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50031,official,mujoco,timeout,250,0.11587161169068073,-120.24402720291788,14.298049229403242,40.0,False,False,True,1.0425784613433202,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50032,official,analytical,timeout,250,0.3518848689958178,-167.82235124588544,12.41632141891591,40.0,False,False,True,0.7737602027022727,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50032,official,mujoco,timeout,250,0.3527545569643902,-167.70405970952433,12.442321486094109,40.0,False,False,True,0.777474498013444,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50033,official,analytical,timeout,250,0.1953915774776229,-78.46605786410909,2.5190968925615684,26.440275192260742,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50033,official,mujoco,timeout,250,0.19466049798147342,-78.30975014852336,2.518907732677764,26.43075942993164,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50034,official,analytical,timeout,250,0.3500164398136548,-132.36450432170943,5.32618773578987,40.0,False,False,False,0.0,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50034,official,mujoco,timeout,250,0.34924317406232364,-132.49809038580915,5.323586757109713,40.0,False,False,False,0.0,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50035,official,analytical,timeout,250,0.6815709552102996,-222.83684790650145,4.268410148508943,40.0,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50035,official,mujoco,timeout,250,0.6832727970902708,-222.9215270571082,4.273022561761301,40.0,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50036,official,analytical,timeout,250,0.12478932596902924,-93.07824223979325,3.1875386131640173,40.0,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50036,official,mujoco,timeout,250,0.12372514056706774,-92.82367621157614,3.1905336337619437,40.0,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50037,official,analytical,timeout,250,0.25550469631651096,-127.59796936146049,11.268870061398308,40.0,False,False,True,0.6098385801997583,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50037,official,mujoco,timeout,250,0.2569445329664326,-127.00163798748385,11.288423285707577,40.0,False,False,True,0.6126318979582253,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50038,official,analytical,timeout,250,0.49863432786164286,-276.619186996018,17.946028140656978,40.0,False,False,True,1.5637183058081399,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50038,official,mujoco,timeout,250,0.4997288303615,-275.68847136569457,17.907281859276868,40.0,False,False,True,1.5581831227538383,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50039,official,analytical,timeout,250,0.27960268197410754,-134.21058978423665,1.5942794643087064,35.81779479980469,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50039,official,mujoco,timeout,250,0.2815501122641113,-134.33397152276473,1.593355507457558,35.822425842285156,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50040,official,analytical,timeout,250,0.15325859131126668,-96.45399380262972,9.739698252413955,40.0,False,False,True,0.391385464630565,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50040,official,mujoco,timeout,250,0.15451881365048464,-96.48583443257714,9.748990043237756,40.0,False,False,True,0.3927128633196795,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50041,official,analytical,timeout,250,0.1290085718545374,-87.98605098067226,13.518449860403868,40.0,False,False,True,0.9312071229148382,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50041,official,mujoco,timeout,250,0.12761785330618153,-87.30339476279359,13.52549713744457,40.0,False,False,True,0.9322138767777957,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50042,official,analytical,timeout,250,0.07166013682086557,-74.47495232092406,5.550300566993846,40.0,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50042,official,mujoco,timeout,250,0.07151149682146994,-74.41096642359237,5.555538206919846,40.0,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50043,official,analytical,timeout,250,0.21148589494776912,-98.76934675741825,1.2655346725269487,39.40635299682617,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50043,official,mujoco,timeout,250,0.2110500169541982,-98.70292357599438,1.2639257897446892,39.416053771972656,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50044,official,analytical,timeout,250,0.3037732270248197,-150.17143379402532,11.843869958316706,40.0,False,False,True,0.6919814226166723,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50044,official,mujoco,timeout,250,0.30331020588878094,-149.13778842277725,11.863581120325842,40.0,False,False,True,0.6947973029036916,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50045,official,analytical,timeout,250,0.3944746053820811,-187.90551220919528,11.788753362655465,40.0,False,False,True,0.6841076232364949,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
