population,condition,training_seed,scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50010,77,78,0,0,false,0,-1,0,0,0,0,0,77,20,0.25974025974025972,-408.24978862657474,-2.1316282072803006e-14,true,false,77,20,0.25974025974025972,6.6146101528826104,33.54435447314652,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50011,250,251,0,0,false,0,-1,0,0,0,0,0,250,132,0.52800000000000002,-91.547078403022553,-3.5527136788005009e-14,true,false,250,132,0.52800000000000002,2.0998621206157115,6.7675783634502897,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50012,250,251,0,0,false,0,-1,0,0,0,0,0,250,31,0.124,-283.80870656832735,-4.2632564145606011e-14,true,false,250,31,0.124,1.2269755154961579,19.756742429215763,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50013,250,251,0,0,false,0,-1,0,0,0,0,0,250,43,0.17199999999999999,-442.53153386565117,-1.4210854715202004e-14,true,false,250,43,0.17199999999999999,3.5357894545728046,31.132038854397578,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50014,250,251,4,0.015936254980079681,true,1,25,0,0.80321184843503879,0.0010169580277912553,0.11474454977643411,0.0051051292995121017,250,235,0.93999999999999995,-348.22742695874615,-4.2632564145606011e-14,true,false,250,235,0.93999999999999995,7.7817625843315277,27.119535927790636,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50015,250,251,0,0,false,0,-1,0,0,0,0,0,250,49,0.19600000000000001,-358.85556302725337,-6.3948846218409017e-14,true,false,250,49,0.19600000000000001,2.8087179801392788,27.153006984166545,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50016,250,251,0,0,false,0,-1,0,0,0,0,0,250,248,0.99199999999999999,-410.9295952662024,-2.1316282072803006e-14,true,false,250,248,0.99199999999999999,13.224097209708825,29.420578314235026,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50017,250,251,0,0,false,0,-1,0,0,0,0,0,250,250,1,-357.55522026965986,-2.8421709430404007e-14,true,false,250,250,1,6.3994080082978755,27.688872235065933,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50018,56,57,5,0.08771929824561403,true,2,30,0,0.53934928642417646,0.0039017861782546905,0.0770498980605967,0.0044480362432103475,57,57,1,-357.31532066528081,-2.8421709430404007e-14,true,true,56,56,0.98245614035087714,21.74238898010957,41.860529011202537,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50019,250,251,182,0.72509960159362552,true,1,69,0.54231938482262354,0,0.07194965085281621,0.17780963436807332,0.36118724728113744,250,250,1,-419.0749547567795,-1.4210854715202004e-14,true,false,250,250,1,17.431569415326976,32.398507566883552,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50020,250,251,0,0,false,0,-1,0,0,0,0,0,250,33,0.13200000000000001,-136.3713760056761,-6.3948846218409017e-14,true,false,250,33,0.13200000000000001,0.90654484661995571,10.151162304840744,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50021,250,251,0,0,false,0,-1,0,0,0,0,0,250,64,0.25600000000000001,-65.75238989380972,-1.7763568394002505e-14,true,false,250,64,0.25600000000000001,0.54032428182331615,4.9876291089072504,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50022,250,251,0,0,false,0,-1,0,0,0,0,0,250,30,0.12,-421.83401882316076,-2.1316282072803006e-14,true,false,250,30,0.12,2.4853222454819899,31.467386732486776,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50023,250,251,0,0,false,0,-1,0,0,0,0,0,250,66,0.26400000000000001,-401.38001182842424,-5.6843418860808015e-14,true,false,250,66,0.26400000000000001,2.188296039534019,29.61420662564089,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50024,250,251,0,0,false,0,-1,0,0,0,0,0,250,228,0.91200000000000003,-66.021116011428688,-5.6843418860808015e-14,true,false,250,228,0.91200000000000003,2.6309733131015265,4.6044736725202737,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50025,250,251,1,0.0039840637450199202,true,1,17,0,0.041282292889587957,2.3495898058957414e-05,0.0058974704127983113,0.00011794940825596623,250,211,0.84399999999999997,-371.31954054153698,-2.8421709430404007e-14,true,false,250,211,0.84399999999999997,4.0641322760404313,26.623031633431776,true,false
