population,condition,training_seed,scenario,controller,seed,reward,steps,success,final_distance,max_speed,max_command_torque,fault_seen
safety,A6c,3,ood_compound,A6c_train_seed_3,50054,-219.08072330542564,250,false,0.37755865333359895,4.2580097367115197,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50055,-357.59230453627117,250,false,0.86245689562525563,2.4493765489079919,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50056,-137.26152348422806,250,false,0.32826200573444847,2.8072627146885609,37.867275238037109,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50057,-588.85659100495195,250,false,1.7280131919987411,2.3283299730786511,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50058,-339.28081874246567,250,false,0.34081580035776732,4.0416687958618027,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50059,-369.39745196563592,250,false,1.0961289801755865,3.6819956463236574,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50060,-904.56021016399291,250,false,3.2082105451270189,0.75642190435658163,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50061,-344.17503692571717,250,false,0.84021805185728671,3.5677896343669016,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50062,-206.35391716030762,250,false,0.32218854962823684,8.4763361166035924,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50063,-505.0006410776075,250,false,2.2272193724346496,1.9062365461345234,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50064,-593.80790133592063,250,false,2.0097891787403133,2.8676461339480221,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50065,-191.84060478711871,250,false,0.4452819682073223,4.6240191924425771,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50066,-752.00628385015295,250,false,2.6081656210564201,1.3439471624635615,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50067,-397.26990994615272,250,false,1.0098033668844713,4.1834544564370368,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50068,-156.30416943591047,250,false,0.15479217783390944,3.2728545036486896,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50069,-343.50709408694098,250,false,0.60421467134724494,3.8379561454906597,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50070,-321.77044386193779,250,false,1.0225104697490854,4.9187361914980094,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50071,-643.46470538494157,250,false,2.2635104407374342,1.367385085558088,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50072,-234.86525789525979,250,false,0.3774320131725441,4.7382693942776219,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50073,-292.55810095925199,250,false,0.56830184980821308,4.9113041325339166,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50074,-404.58222703385235,250,false,1.3456498233254104,3.6608838431155029,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50075,-416.7266266626998,250,false,1.1218910897283925,4.5341445991171936,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50076,-110.9661278425063,33,false,2.3676977794677168,10.800301159729544,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50077,-203.15280221347243,250,false,0.42671752227578147,6.9046873897487275,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50078,-571.90421253783222,250,false,2.3438190246408146,5.3146334985420127,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50079,-434.42915677181293,250,false,0.81517078120627195,5.1654937987178142,40,false
