arm,scenario,seed,origin,plant,outcome,steps,final_distance,reward,max_speed,max_command_torque,fault_seen,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,model_fallbacks,prediction_fallbacks,model_fallback_steps,control_steps,selected_time_constant,true_time_constant,true_armature,residual_rms,obstacle_present,obstacle_violation_max_m,obstacle_contact,obstacle_contact_steps,obstacle_contact_geoms,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,first_unsafe_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive_hocbf,id_reference,52213,official,mujoco,success,48,0.048168308960286996,-25.746900731504244,4.796783278519496,40.0,False,True,False,0.0,False,0.16666666666666666,2,2,17,0,0,0,48,0.03,0.03757797131981217,0.038734145378883644,,False,0.0,False,0,(),0.0,0.0,-1,0.5090642747105703,0.14231851619786337
fixed_hocbf,id_reference,52214,official,mujoco,timeout,250,0.3037278764742077,-246.40016882565828,4.463067031255415,40.0,False,False,True,0.006166718163034924,False,0.256,2,,,0,0,0,0,,0.010363095293049534,0.043704304976761976,,False,0.0,False,0,(),0.018808490397256517,0.0,114,,
adaptive_hocbf,id_reference,52214,official,mujoco,success,74,0.035753796328182055,-94.31562419623158,5.307097582247906,40.0,False,True,False,0.0,False,0.3918918918918919,2,2,36,0,0,0,74,0.01,0.010363095293049534,0.043704304976761976,,False,0.0,False,0,(),0.0,0.0,-1,0.3021164384953468,0.20260064081782714
fixed_hocbf,id_reference,52215,official,mujoco,timeout,250,0.6317607766811714,-350.4524700189453,3.5266758814925043,40.0,False,False,False,0.0,False,0.276,2,,,0,0,0,0,,0.01742612902716399,0.06539569222663039,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52215,official,mujoco,success,78,0.04594508889618745,-126.25108664999308,5.707217287307031,40.0,False,True,False,0.0,False,0.3333333333333333,2,2,64,0,0,0,78,0.03,0.01742612902716399,0.06539569222663039,,False,0.0,False,0,(),0.0,0.0,-1,2.1399595139164127,1.3609562282253027
fixed_hocbf,id_reference,52216,official,mujoco,timeout,250,0.24068811241199017,-146.47458978224876,2.8752216830974713,40.0,False,False,False,0.0,False,0.104,1,,,0,0,0,0,,0.0486169386247695,0.06115082972005592,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52216,official,mujoco,success,59,0.04747008133119297,-66.62229341534722,6.5641958932256586,40.0,False,True,False,0.0,False,0.3050847457627119,1,1,10,0,0,0,59,0.06,0.0486169386247695,0.06115082972005592,,False,0.0,False,0,(),0.0,0.0,-1,1.0233589421876252,0.5116026139679795
fixed_hocbf,id_reference,52217,official,mujoco,timeout,250,0.4216040475625377,-152.01404250013357,3.195904518511041,40.0,False,False,False,0.0,False,0.056,1,,,0,0,0,0,,0.023988874395244372,0.05593684679886453,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52217,official,mujoco,success,62,0.04746567742178878,-33.093333953199,4.408973614192867,40.0,False,True,False,0.0,False,0.27419354838709675,1,1,33,0,0,0,62,0.03,0.023988874395244372,0.05593684679886453,,False,0.0,False,0,(),0.0,0.0,-1,3.0135660007054597,1.3427574129229727
fixed_hocbf,id_reference,52218,official,mujoco,timeout,250,0.2162362781476037,-178.533670678918,5.905796476809124,40.0,False,False,False,0.0,False,0.272,1,,,0,0,0,0,,0.03202280726996416,0.07173024723830353,,False,0.0,False,0,(),0.0,0.0,-1,,
