condition,training_seed,scenario,episodes,successes,success_rate,success_ci95_low,success_ci95_high,unsafe_episodes,unsafe_episode_rate,unsafe_episode_ci95_low,unsafe_episode_ci95_high,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_entry_count,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_integral_mean,normalized_violation_integral_max,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible_episodes,safety_infeasible_rate,safety_infeasible_ci95_low,safety_infeasible_ci95_high,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_exposure_rate
A6_prefilter,0,motor_fault,100,4,0.04,0.01566330399154762,0.0983707143588792,71,0.71,0.6146110882442888,0.7898516425087772,24397,5918,0.24257080788621552,134,6.320420649464373,15.34749905181068,0.3137428500370157,7.9045858195843595,24297,7670,0.3156768325307651,-1166.80351649748,-1166.80351649748,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A6_hocbf,0,motor_fault,100,3,0.03,0.010254524024038925,0.0845193642905276,27,0.27,0.1926958414957634,0.36432116767944994,23962,1480,0.06176446039562641,34,1.3779888426113054,4.550897823157127,0.029244830868516744,0.9456511209873858,23865,8590,0.35994133668552275,-629.198704051137,-5.684341886080802e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,8587,0.35981562958307145,2.588530197815264,62.06909722478722,1.0
A2_unfiltered,1,id_reference,100,54,0.54,0.44264860323368227,0.6343919169097589,73,0.73,0.6356788323205499,0.8073041585042365,15012,2554,0.17013056221689316,122,1.3449051007208004,10.755189917036788,0.10358704808081384,0.9779491267156623,14912,4915,0.32960032188841204,-839.5689194172417,-871.3610569490572,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,1,id_reference,100,45,0.45,0.3561453797951198,0.5475539700255787,3,0.03,0.010254524024038925,0.0845193642905276,16719,121,0.007237274956636163,4,0.09732761292675729,1.4334541514968073,0.0004989460309988555,0.03798631068561785,16621,6392,0.38457373202575057,-458.85456181768296,-9.237055564881302e-14,True,2,0.02,0.00550196755016235,0.07001179072854388,6390,0.3844534023223633,3.407028503110427,34.13706016463321,0.0
A6_prefilter,1,id_reference,100,14,0.14,0.08526343659939134,0.22137188210963837,64,0.64,0.5423540245160874,0.7272877959859567,22380,3693,0.16501340482573726,117,1.6404328174144327,11.826058526026348,0.1911005004025322,2.078123245116945,22280,4700,0.21095152603231598,-926.2851823394348,-929.6611022816717,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,1,id_reference,100,12,0.12,0.06999406437019488,0.19812099426711421,8,0.08,0.041093461484380624,0.14998107700948735,22345,117,0.005236070709330946,8,0.2107382889648255,3.717825078518784,0.0009895941993235155,0.023037725828951465,22247,4020,0.18069852114891896,-360.6111557212036,-7.105427357601002e-14,True,2,0.02,0.00550196755016235,0.07001179072854388,4018,0.18060862138715333,1.4511382303568314,29.770280475798444,0.0
A2_unfiltered,1,ood_compound,100,3,0.03,0.010254524024038925,0.0845193642905276,67,0.67,0.5730534379509052,0.7543687726587197,24604,3201,0.13010079661843602,135,12.279110029073479,16.33072099788416,0.18695719607399647,7.833307179308836,24504,13953,0.5694172380019589,-1356.0650455508571,-1282.9738383420151,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,1,ood_compound,100,3,0.03,0.010254524024038925,0.0845193642905276,20,0.2,0.1333669333310325,0.2888291655931589,24184,242,0.010006615944426067,25,0.6425395884823821,5.022837088948343,0.0049131940294645056,0.14524555513794554,24087,19637,0.8152530410594927,-604.9268251740959,-1.4210854715202004e-13,True,3,0.03,0.010254524024038925,0.0845193642905276,19634,0.8151284925478474,8.723856863298368,59.96270315759051,0.0
A6_prefilter,1,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,75,0.75,0.656955364519384,0.8245478863771232,25100,5179,0.20633466135458167,162,19.810814441479977,19.110792394019867,0.34006953272889257,9.254369950381163,25000,10390,0.4156,-1511.044295124469,-1503.9003098048265,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,1,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,27,0.27,0.1926958414957634,0.36432116767944994,24300,729,0.03,30,1.0464633178030542,3.7442047690264957,0.01434599387769827,0.3506221107165474,24204,14679,0.6064700049578582,-501.2449737000849,-5.684341886080802e-14,True,4,0.04,0.01566330399154762,0.0983707143588792,14675,0.606304743017683,6.171257928654559,47.75142581937629,0.0
A2_unfiltered,1,motor_fault,100,26,0.26,0.18404698464748132,0.3537098944918718,76,0.76,0.6676766365018553,0.8330867444305122,20325,3838,0.18883148831488314,129,4.119075375423214,13.397830673703947,0.17195793052329023,2.5649986209450883,20225,8654,0.42788627935723117,-1051.9636858296922,-1084.6789186716733,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A5_hocbf,1,motor_fault,100,16,0.16,0.10095288488804782,0.24420269389270244,20,0.2,0.1333669333310325,0.2888291655931589,21550,589,0.027331786542923432,26,1.2120244033288055,3.6527652190264597,0.01119568128979556,0.7721965145798194,21454,12682,0.5911251980982567,-523.4138226407731,-9.947598300641403e-14,True,4,0.04,0.01566330399154762,0.0983707143588792,12678,0.5909387526801528,4.919198333422703,44.619855458130836,1.0
A6_prefilter,1,motor_fault,100,3,0.03,0.010254524024038925,0.0845193642905276,72,0.72,0.6251197129007884,0.7986031478881379,24570,5926,0.24118844118844118,137,6.352318404581996,15.207897497009668,0.3154014244227753,7.985798131543698,24470,7951,0.32492848385778506,-1150.4012061131336,-1153.2297018943905,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A6_hocbf,1,motor_fault,100,2,0.02,0.00550196755016235,0.07001179072854388,28,0.28,0.20139685211186212,0.3748802870992116,24143,1429,0.05918899888166342,36,1.3710756120996903,4.410898180595851,0.02891130760657208,0.9398159193741461,24046,8958,0.37253597271895533,-623.7463991886732,-5.684341886080802e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,8955,0.37241121184396575,2.6488386223973936,62.71502665038305,1.0
A2_unfiltered,2,id_reference,100,57,0.57,0.47215389549212305,0.6626670147588988,72,0.72,0.6251197129007884,0.7986031478881379,14504,3254,0.2243519029233315,126,1.9701761145551027,12.38049140485187,0.18196538520915237,2.027077445612063,14404,5121,0.3555262427103582,-926.7155694073915,-909.1023933166697,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,2,id_reference,100,53,0.53,0.4328885697009936,0.6248918204065872,5,0.05,0.02154367915436796,0.11175046923191913,15795,274,0.017347261791706235,5,0.24988628893833242,2.0611193376617862,0.0015459122177791213,0.09649401295848545,15696,6518,0.4152650356778797,-483.21574822897884,-1.4210854715202004e-13,True,1,0.01,0.0017674320641406505,0.054486196178705315,6517,0.4152013251783894,3.854478356540821,37.61164202214968,0.0
A6_prefilter,2,id_reference,100,14,0.14,0.08526343659939134,0.22137188210963837,64,0.64,0.5423540245160874,0.7272877959859567,22335,3839,0.17188269532124467,117,1.6404873237375446,12.341845258331862,0.19145996236503673,2.0854003456549384,22235,4993,0.22455588036878796,-899.6877775806386,-899.6877775806386,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,2,id_reference,100,13,0.13,0.07757167427240512,0.20980351440076428,8,0.08,0.041093461484380624,0.14998107700948735,22133,127,0.005738038223467221,8,0.22998628863185022,3.8062777936443446,0.0011036196633903883,0.024995375487643523,22035,4157,0.1886544134331745,-352.18307226276204,-7.105427357601002e-14,True,2,0.02,0.00550196755016235,0.07001179072854388,4155,0.18856364874063988,1.4642877910902756,29.6041501362669,0.0
A2_unfiltered,2,ood_compound,100,4,0.04,0.01566330399154762,0.0983707143588792,70,0.7,0.6041514536665332,0.7810511470506724,24462,3964,0.16204725696999428,145,12.438095510572172,16.79703078406202,0.2425181218891485,6.293623263792952,24362,13769,0.5651834824727033,-1136.6448549446304,-1136.6448549446304,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,2,ood_compound,100,3,0.03,0.010254524024038925,0.0845193642905276,23,0.23,0.15843265880303448,0.3215438302287378,24236,323,0.01332728172965836,26,0.3953030903752559,4.937665896667292,0.004833048952438895,0.17642793367179152,24139,18789,0.7783669580347156,-524.480180023597,-1.1368683772161603e-13,True,3,0.03,0.010254524024038925,0.0845193642905276,18786,0.7782426778242678,9.170086685759198,46.54127288267031,0.0
A6_prefilter,2,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,74,0.74,0.6462901055081282,0.8159530153525186,25100,5229,0.20832669322709163,164,18.347387864488923,21.102921346850973,0.33051013146493496,8.257545834859013,25000,10204,0.40816,-1573.1811513795371,-1562.6480024579214,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,2,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,28,0.28,0.20139685211186212,0.3748802870992116,24299,728,0.02996008066175563,31,1.0534071053095015,4.521097436267272,0.014302290289565598,0.357551104236935,24203,14446,0.5968681568400611,-546.5466283771837,-7.105427357601002e-14,True,4,0.04,0.01566330399154762,0.0983707143588792,14442,0.5967028880717267,6.137428917013975,51.979579592941164,0.0
A2_unfiltered,2,motor_fault,100,25,0.25,0.17545211362287672,0.34304463548061603,75,0.75,0.656955364519384,0.8245478863771232,20746,3364,0.16215174009447605,139,1.9402844097737306,11.472452655513958,0.1621351210495181,2.042495788128605,20646,7655,0.37077399980625786,-952.4084010872532,-943.7478275454177,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A5_hocbf,2,motor_fault,100,16,0.16,0.10095288488804782,0.24420269389270244,23,0.23,0.15843265880303448,0.3215438302287378,21881,1335,0.061011836753347655,30,1.4317359862680288,5.049734582144197,0.02296575981519519,1.0443440902758956,21785,11102,0.509616708744549,-622.0648223491401,-1.4210854715202004e-13,True,4,0.04,0.01566330399154762,0.0983707143588792,11098,0.5094330961670874,4.736691861227505,46.61771838854912,1.0
A6_prefilter,2,motor_fault,100,4,0.04,0.01566330399154762,0.0983707143588792,71,0.71,0.6146110882442888,0.7898516425087772,24398,6025,0.24694647102221493,133,6.431470021445311,14.519738925167587,0.3265825693649758,7.937093757460173,24298,7732,0.3182154909869125,-1204.2543889359226,-1193.5771903270868,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A6_hocbf,2,motor_fault,100,3,0.03,0.010254524024038925,0.0845193642905276,26,0.26,0.18404698464748132,0.3537098944918718,23976,1392,0.05805805805805806,35,1.3590845002851326,4.241934729405376,0.02875368935760566,0.9265079584504229,23879,8592,0.3598140625654341,-636.583757195431,-7.105427357601002e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,8589,0.3596884291637003,2.659524965869207,61.99590181314585,1.0
A2_unfiltered,3,id_reference,100,53,0.53,0.4328885697009936,0.6248918204065872,78,0.78,0.6892964648501421,0.8499871761539459,14926,2557,0.17131180490419404,122,1.432256107241261,11.057290882944365,0.12186627033858853,1.9838088042679933,14826,4966,0.33495211115607715,-878.9873202838694,-911.3551845486672,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,3,id_reference,100,51,0.51,0.4134801193402717,0.6057800106955886,4,0.04,0.01566330399154762,0.0983707143588792,15859,55,0.003468062299010026,4,0.2019356032938857,0.8619344147718389,0.000384981684462435,0.02258768286058152,15760,6440,0.4086294416243655,-460.1175242352868,-9.947598300641403e-14,True,1,0.01,0.0017674320641406505,0.054486196178705315,6439,0.40856598984771575,3.5894656948085437,34.43136706930688,0.0
A6_prefilter,3,id_reference,100,17,0.17,0.10893566114059931,0.25548004767601123,65,0.65,0.5525444329688796,0.7363575175690247,21878,3566,0.16299478928604078,117,1.6464730958030795,12.99880926857912,0.17861633001570656,2.079427037032593,21778,4726,0.21700798971439067,-948.0652921119856,-948.0652921119856,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,3,id_reference,100,14,0.14,0.08526343659939134,0.22137188210963837,9,0.09,0.04807254000256516,0.1622621285271631,21994,131,0.005956169864508502,9,0.20376985842576723,3.773846588835214,0.0010909864265148267,0.02303095417760002,21896,4144,0.18925831202046037,-372.2221603677172,-4.973799150320701e-14,True,2,0.02,0.00550196755016235,0.07001179072854388,4142,0.1891669711362806,1.4969451965366487,30.038259681196028,0.0
A2_unfiltered,3,ood_compound,100,7,0.07,0.03431926106727268,0.137495147390735,69,0.69,0.5937394428051057,0.7722030278762395,23979,3038,0.1266941907502398,123,21.06791360374492,27.613453178885884,0.25892970339611326,10.658845689130485,23879,13255,0.5550902466602454,-1606.14179978043,-1605.9404013409892,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
