scenario,controller,seed,steps,command_attempts,safety_infeasible,safety_certified_steps,safety_intervention_steps,unsafe_state_steps,safety_correction_mean,safety_correction_max,safety_correction_sum,safety_constraint_margin_min,uncertainty_scale_mean,uncertainty_scale_min,uncertainty_norm_mean,uncertainty_norm_max,raw_residual_norm_mean,gated_residual_norm_mean,context_latent_norm_mean,context_latent_norm_max
id_randomized_heldout,A5_train_seed_0,40061,250,250,False,250,29,0,0.8149509530746514,13.800254244593857,203.73773826866284,-2.842170943040401e-14,1.0,1.0,0.0,0.0,4.471623257294401,4.471623257294401,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40062,250,250,False,250,38,0,1.9539798668193207,22.76439235306833,488.4949667048302,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,6.136060355864456,6.136060355864456,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40063,250,250,False,250,13,0,0.06520197510541796,3.5014660433373685,16.30049377635449,-3.552713678800501e-14,1.0,1.0,0.0,0.0,5.210912070552362,5.210912070552362,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40064,41,41,False,41,13,0,2.0506001036785673,8.45867850122268,84.07460425082125,-2.842170943040401e-14,1.0,1.0,0.0,0.0,7.767528427983687,7.767528427983687,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40065,250,250,False,250,107,0,6.728748584843782,26.021031981938915,1682.1871462109455,-8.526512829121202e-14,1.0,1.0,0.0,0.0,8.731674784139438,8.731674784139438,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40066,75,75,False,75,23,0,4.799211820537408,19.91940185833685,359.94088654030566,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,5.007042331738052,5.007042331738052,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40067,51,51,False,51,24,0,3.78807537887111,11.479318088213484,193.19184432242662,-5.684341886080802e-14,1.0,1.0,0.0,0.0,7.500788163284945,7.500788163284945,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40068,67,67,False,67,23,0,0.6791049160325393,8.369180876933028,45.50002937418013,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,7.741299411074056,7.741299411074056,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40069,104,104,False,104,76,0,7.566282674907384,18.64626773878861,786.893398190368,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,8.13054675800923,8.13054675800923,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40070,51,51,False,51,23,0,2.3033875375824824,7.545334605330438,117.47276441670661,-6.750155989720952e-14,1.0,1.0,0.0,0.0,7.237817675336906,7.237817675336906,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40071,74,74,False,74,35,0,2.7533491086014656,8.572536142560036,203.74783403650846,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,8.533881712604373,8.533881712604373,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40072,51,51,False,51,23,0,2.490373563691427,8.098856770881978,127.00905174826278,-3.552713678800501e-14,1.0,1.0,0.0,0.0,7.201047454989197,7.201047454989197,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40073,90,90,False,90,51,0,9.50870662479278,27.651813488685633,855.7835962313502,-3.552713678800501e-14,1.0,1.0,0.0,0.0,8.486457884113758,8.486457884113758,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40074,54,54,False,54,31,0,7.809453346046178,22.775115685157772,421.7104806864936,-4.263256414560601e-14,1.0,1.0,0.0,0.0,8.936048761173867,8.936048761173867,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40075,250,250,False,250,55,0,2.6310647848433195,18.39607824092036,657.7661962108299,-5.684341886080802e-14,1.0,1.0,0.0,0.0,6.175532119204066,6.175532119204066,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40076,45,45,False,45,20,0,6.3928747675643525,22.360960118931985,287.67936454039585,-4.973799150320701e-14,1.0,1.0,0.0,0.0,6.536246344991385,6.536246344991385,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40077,250,250,False,250,250,0,3.4619838920439814,10.69822114655419,865.4959730109954,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,8.867874025954487,8.867874025954487,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40078,250,250,False,250,99,0,1.8570952071075226,17.171610509514018,464.27380177688065,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,7.591267446632262,7.591267446632262,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40079,92,92,False,92,46,0,7.987762553627556,27.996805289513127,734.8741549337352,-3.552713678800501e-14,1.0,1.0,0.0,0.0,8.297275728382257,8.297275728382257,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40080,250,250,False,250,13,0,1.0390593399563541,29.786300547765286,259.7648349890885,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,1.8475009474432207,1.8475009474432207,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40081,250,250,False,250,73,0,5.104476041261043,30.237079543122125,1276.1190103152605,-4.263256414560601e-14,1.0,1.0,0.0,0.0,7.956656752421508,7.956656752421508,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40082,72,73,True,72,69,0,20.498404035922597,32.59821895446326,1496.3834946223496,-9.591346919109569,1.0,1.0,0.0,0.0,8.567965623143014,8.567965623143014,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40083,250,250,False,250,49,6,3.1062213656053737,30.387967543673057,776.5553414013434,-2.1316282072803006e-14,1.0,1.0,0.0,0.0,6.484389550324618,6.484389550324618,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40084,127,127,False,127,57,0,7.133705483684835,28.412223857244374,905.9805964279741,-5.684341886080802e-14,1.0,1.0,0.0,0.0,8.318463411588615,8.318463411588615,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40085,250,250,False,250,250,0,4.1289939241000075,9.815297805488864,1032.2484810250019,-4.263256414560601e-14,1.0,1.0,0.0,0.0,7.05840248545646,7.05840248545646,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40086,49,49,False,49,35,0,3.1241096623588573,5.999514864021027,153.081373455584,-3.552713678800501e-14,1.0,1.0,0.0,0.0,7.589653089937287,7.589653089937287,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40087,250,250,False,250,36,0,2.8054876724766324,32.71277170384247,701.3719181191581,-1.0658141036401503e-14,1.0,1.0,0.0,0.0,6.254879899354871,6.254879899354871,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40088,250,250,False,250,23,0,0.664095983464001,10.233916987717434,166.02399586600026,-4.263256414560601e-14,1.0,1.0,0.0,0.0,5.242057054214701,5.242057054214701,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40089,75,75,False,75,36,0,6.87730655718412,23.131296971453633,515.797991788809,-7.815970093361102e-14,1.0,1.0,0.0,0.0,8.429887911565963,8.429887911565963,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40090,250,250,False,250,48,0,1.3977832472424223,15.603024296676761,349.44581181060556,-2.842170943040401e-14,1.0,1.0,0.0,0.0,4.429162404171406,4.429162404171406,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40091,250,250,False,250,37,0,1.3681851431241014,16.400258306131214,342.04628578102535,-2.842170943040401e-14,1.0,1.0,0.0,0.0,4.371884172450928,4.371884172450928,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40092,56,56,False,56,5,0,0.3485277996461172,5.582978615869107,19.517556780182563,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,4.693321441205076,4.693321441205076,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40093,103,103,False,103,45,0,2.37924597082962,14.962859890505216,245.06233499545087,-2.842170943040401e-14,1.0,1.0,0.0,0.0,6.7840771684624315,6.7840771684624315,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40094,98,98,False,98,80,0,6.451891719472467,10.931710582360745,632.2853885083018,-6.394884621840902e-14,1.0,1.0,0.0,0.0,8.261581951422212,8.261581951422212,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40095,82,82,False,82,45,0,3.7625838862015395,12.247692447179203,308.53187866852625,-2.842170943040401e-14,1.0,1.0,0.0,0.0,7.2012909347451695,7.2012909347451695,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40096,250,250,False,250,132,0,1.692080032060436,7.303108399982436,423.020008015109,-2.842170943040401e-14,1.0,1.0,0.0,0.0,8.259027155232681,8.259027155232681,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40097,250,250,False,250,25,0,2.5520000444131345,37.637040741229804,638.0000111032837,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,6.707435313648399,6.707435313648399,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40098,250,250,False,250,248,0,6.166153504477546,16.19872980995284,1541.5383761193866,-1.4210854715202004e-14,1.0,1.0,0.0,0.0,6.614894095455182,6.614894095455182,0.0,0.0
id_randomized_heldout,A5_train_seed_0,40099,122,122,False,122,56,0,6.412576501313625,23.719655037570053,782.3343331602622,-2.842170943040401e-14,1.0,1.0,0.0,0.0,8.31954814865275,8.31954814865275,0.0,0.0
id_randomized_heldout,A5_train_seed_1,40000,97,97,False,97,50,0,4.284983992896267,18.78430918820504,415.6434473109379,-7.105427357601002e-14,1.0,1.0,0.0,0.0,8.624707404684829,8.624707404684829,0.0,0.0
